Usia,perempuan,laki-laki
17,38.728,40.758
18,40.874,43.044
19,43.02,45.33
20,45.208,47.64
21,47.396,49.828
22,49.584,52.016
23,51.772,54.204
24,53.96,56.392
25,56.156,58.588
26,58.352,60.784
27,60.548,62.98
28,62.744,65.176
29,64.94,67.372
30,67.11,69.542
31,69.28,71.712
32,71.45,73.882
33,73.62,76.052
34,75.79,78.222
35,77.89,80.322
36,79.99,82.422
37,82.09,84.522
38,84.19,86.622
39,86.29,88.722
40,88.308,90.74
41,90.326,92.758
42,92.344,94.776
43,94.362,96.794
44,96.38,98.812
45,98.25,100.682
46,100.12,102.552
47,101.99,104.422
48,103.86,106.292
49,105.73,108.162
50,107.382,109.814
51,109.034,111.466
52,110.686,113.118
53,112.338,114.77
54,113.99,116.422
55,115.394,117.826
56,116.798,119.23
57,118.202,120.634
58,119.606,122.038
59,121.01,123.442
60,136.39,137.732
